course_code,prerequisites,group_id
CZ4016,CZ2101,prereq_group_437
CZ4022,CZ3006,prereq_group_438
CZ4023,CE3005,prereq_group_439
CZ4023,CZ3006,prereq_group_440
CZ4032,CZ2101,prereq_group_441
CZ4042,CZ1104|CZ1107,prereq_group_442
CZ4042,CZ1107|MH2802,prereq_group_443
CZ4045,CZ2101,prereq_group_444
MH2500,MH1100|MH1101,prereq_group_445
MH2500,MH1101,prereq_group_446
MH2500,MH1100,prereq_group_447
MH2500,MH1802,prereq_group_448
MH2500,CY1601,prereq_group_449
MH2500,MH1805,prereq_group_450
MH2100,MH1101,prereq_group_451
MH2100,MH1802,prereq_group_452
MH2100,MH1805,prereq_group_453
MH3510,MH2500|MH3500,prereq_group_454
MH4511,MH2500|MH3500,prereq_group_455
MH4513,MH2500|MH3500|MH3510,prereq_group_456
MH4518,MH2500|MH3511,prereq_group_457
HE3010,HE2002,prereq_group_458
HE3022,HE1001,prereq_group_459
HE3022,HE5091,prereq_group_460
HE3001,HE2001,prereq_group_461
HE3002,HE2002,prereq_group_462
HE3004,HE2001|HE2003,prereq_group_463
HE3004,HE2003|HE5092,prereq_group_464
HE3021,HE1001,prereq_group_465
HE3021,HE1002,prereq_group_466
HE3021,HE5091,prereq_group_467
HE3023,HE1001,prereq_group_468
HE3023,HE5091,prereq_group_469
HE3024,HE1001,prereq_group_470
HE3024,HE5091,prereq_group_471
HE3026,HE2001|HE2003,prereq_group_472
HE3026,HE2003|HE5092,prereq_group_473
HE3027,HE1001,prereq_group_474
HE3027,HE5091,prereq_group_475
HE3031,HE1001,prereq_group_476
HE3031,HE5091,prereq_group_477
HE3032,HE1004|HE5092,prereq_group_478
HE3032,HE1004|HE2001,prereq_group_479
HE3033,HE1001,prereq_group_480
HE3033,HE1002,prereq_group_481
HE3033,HE5091,prereq_group_482
HE3125,HE1001,prereq_group_483
HE3125,HE2003,prereq_group_484
HE4044,HE2001|HE2002,prereq_group_485
HE4140,HE2001,prereq_group_486
MH3512,MH2500,prereq_group_487
MH4510,MH2500|MH3500|MH3510|MH3511,prereq_group_488
MH4702,MH2500|MH3512,prereq_group_489
MH4702,MH2500|MH3701,prereq_group_490
HE2010,HE1001,prereq_group_491
HE2010,HE1002,prereq_group_492
HE2010,HE5091,prereq_group_493
HW0208,CC0001,prereq_group_494
HE2011,HE1001,prereq_group_495
HE2011,HE5091,prereq_group_496
HE2015,HE2002,prereq_group_497
HE2020,AB1202,prereq_group_498
HE2021,HE1001,prereq_group_499
HE2021,HE5091,prereq_group_500
HE2021,HJ5001,prereq_group_501
HE3005,HE1001,prereq_group_502
HE3005,HE5091,prereq_group_503
HE3603,HE1001,prereq_group_504
HE3603,HE1002,prereq_group_505
HE3603,HE5091,prereq_group_506
HE4001,HE2001,prereq_group_507
HE4002,HE2002,prereq_group_508
HE4003,HE2002,prereq_group_509
HE4003,HE5092,prereq_group_510
HA2004,HA1001,prereq_group_511
HA2009,HA1003,prereq_group_512
HA2017,HA2004,prereq_group_513
HA2023,HA1003|HA1012,prereq_group_514
HA2024,HA1003,prereq_group_515
HA3001,HA1003|HA1012,prereq_group_516
HA3015,HA1012,prereq_group_517
HA3018,HA1001|HA1002,prereq_group_518
HA3022,HA1002,prereq_group_519
HA3024,HA1001,prereq_group_520
HA3025,HA1001,prereq_group_521
HA3026,HA1003,prereq_group_522
HA3090,HA1001|HA1012,prereq_group_523
HA4011,HA1003,prereq_group_524
HA4018,HA1003,prereq_group_525
HA4021,HA1002|HA1012,prereq_group_526
HA4022,HA1003,prereq_group_527
HA4030,HA1001,prereq_group_528
HA4042,HA1001,prereq_group_529
HA4043,HA1001,prereq_group_530
HA4046,HA1011|HA1012,prereq_group_531
HA4065,HA2026,prereq_group_532
HA4067,HA1001,prereq_group_533
HP4041,HP1000|HP1100|HP2100|HP2400,prereq_group_534
HP4041,CS2008|HP1000|HP2100|HP2400,prereq_group_535
HP4061,HP1000|HP1100|HP2600,prereq_group_536
HP4061,CS2008|HP1000|HP2600,prereq_group_537
HP4081,HP1000|HP1100|HP2400,prereq_group_538
HP4081,CS2008|HP1000|HP2400,prereq_group_539
HP4081,HP1000|HP1100|HP3802,prereq_group_540
HP4081,HP1000|HP1100|HP3807,prereq_group_541
HP4081,CS2008|HP1000|HP3802,prereq_group_542
HP4081,CS2008|HP1000|HP3807,prereq_group_543
EE2005,EE2101,prereq_group_544
EE2103,CY1307,prereq_group_545
EE2103,EE1102,prereq_group_546
IE0005,BG2211,prereq_group_547
IE0005,CH2107,prereq_group_548
IE0005,CV1014,prereq_group_549
IE0005,MS1008,prereq_group_550
IE0005,MA1008,prereq_group_551
IE0005,IE1005,prereq_group_552
IE0005,RE1016,prereq_group_553
IE2007,MH1811,prereq_group_554
IE2007,MH2810,prereq_group_555
IE2007,CY1602,prereq_group_556
IE2010,MH1810|MH1811,prereq_group_557
IE2010,MH2810,prereq_group_558
IE2010,CY1601|CY1602,prereq_group_559
IE2106,MH1811,prereq_group_560
IE2106,MH2810,prereq_group_561
IE2106,CY1602,prereq_group_562
EE3011,IE2106,prereq_group_563
EE3013,EE2103,prereq_group_564
EE3015,EE2101,prereq_group_565
EE3019,EE2102,prereq_group_566
EE3019,EE2002,prereq_group_567
IE3012,IE2010,prereq_group_568
IE3012,IE2110,prereq_group_569
IE3014,IE2010,prereq_group_570
IE3014,IE2110,prereq_group_571
EE4268,EE3011,prereq_group_572
EE4303,EE3019,prereq_group_573
EE4341,EE3019,prereq_group_574
EE4503,EE3010|EE3015,prereq_group_575
EE4503,EE2005|EE3015,prereq_group_576
EE4530,EE2005|EE3015,prereq_group_577
EE4530,EE3010|EE3015,prereq_group_578
EE4532,EE2005|EE3015,prereq_group_579
EE4532,EE3010|EE3015,prereq_group_580
EE4613,EE3013,prereq_group_581
EE4647,MS2018,prereq_group_582
IE4483,MH2802|PS0002,prereq_group_583
IE4483,MH1201|PS0002,prereq_group_584
IE4483,MH1802|MH1804|PS0002,prereq_group_585
IE4483,CB0494|CB1117,prereq_group_586
IE4483,CV0003|CV2019,prereq_group_587
IE4483,CV0003|MH2814|MT2004,prereq_group_588
IE4483,SC1004|SC1015,prereq_group_589
IE4483,IE0005|IE2007,prereq_group_590
IE4491,IE2010,prereq_group_591
IE4491,IE2110,prereq_group_592
ES1006,ES1001,prereq_group_593
ES2001,MH1100|MH1101,prereq_group_594
ES2001,CY1601|CY1602,prereq_group_595
ES2001,MH1802,prereq_group_596
ES2302,ES2003,prereq_group_597
ES3003,ES1003,prereq_group_598
ES3102,ES2001|ES2002|ES2004|ES2802,prereq_group_599
ES3202,ES2802,prereq_group_600
ES3306,ES2303,prereq_group_601
ES4010,ES1001,prereq_group_602
ES4010,ES1003,prereq_group_603
ES4010,ES1007,prereq_group_604
ES4010,ES2003,prereq_group_605
ES4301,AAB20D|ES2301|ES3301,prereq_group_606
ES4301,ES2301|ES2303|ES3301,prereq_group_607
ES4911,ES2001|MH1200|MH1802|PH1801,prereq_group_608
HH3001,HH1001,prereq_group_609
HH2001,HH1001,prereq_group_610
HH2004,HH1001,prereq_group_611
HH2008,HH1001,prereq_group_612
HH2046,HH1001,prereq_group_613
HH4006,HH1001,prereq_group_614
HH4010,HH1001,prereq_group_615
HH4016,HH1001,prereq_group_616
HY4008,HY2002,prereq_group_617
HY4011,HY2002,prereq_group_618
HY4027,HY1001,prereq_group_619
HY4131,HY2002,prereq_group_620
MA2002,MA1001,prereq_group_621
DA2002,DA1000,prereq_group_622
DA3000,DA1000,prereq_group_623
MH2200,MH1200,prereq_group_624
MH2200,CY1602,prereq_group_625
MH3101,MH1101|MH2100,prereq_group_626
MH3300,MH1201|MH1301,prereq_group_627
MH3300,MH2802,prereq_group_628
MH4200,MH1201|MH3200,prereq_group_629
MH4701,MH2100|MH3701,prereq_group_630
MH4701,MH1803|MH3701,prereq_group_631
MH3520,MH2100|MH3500|MH3600|PS0001,prereq_group_632
MH4300,MH1101|MH1201|MH1301,prereq_group_633
MH4300,MH1201|MH1301|MH1802,prereq_group_634
MH4311,MH1301|MH2200,prereq_group_635
MH4700,MH3110|MH3700,prereq_group_636
MS2083,MS2013,prereq_group_637
MS4014,MS2018|MS3012|MS3013,prereq_group_638
MS4620,MS2013,prereq_group_639
MS4621,MS1014|MS2013,prereq_group_640
MS4631,MS3013,prereq_group_641
