course_code,prerequisites,group_id
HS4039,HS1001|HS2001|HS2002|HS3001|HS3002,prereq_group_401
HS4901,HS1001|HS2002,prereq_group_402
HS4902,HS1001|HS3002,prereq_group_403
HS4013,HS1001|HS2001|HS2002|HS2004|HS3001|HS3002,prereq_group_404
HZ5201,HZ5101,prereq_group_405
HZ5202,HZ5101,prereq_group_406
HZ5203,HZ5101,prereq_group_407
HZ5204,HZ5101,prereq_group_408
AB5102,AD1101,prereq_group_409
AB5102,AC1104,prereq_group_410
AB5102,AD1102,prereq_group_411
ADP26B,ADP16A,prereq_group_412
ET5133,ET5131,prereq_group_413
HC5903,HC5902,prereq_group_414
LA5003,LA5002,prereq_group_415
LF5003,LF5002,prereq_group_416
LF5004,LF5003,prereq_group_417
LF5005,LF5004,prereq_group_418
LF5006,LF5005,prereq_group_419
LG5003,LG5002,prereq_group_420
LG5004,LG5003,prereq_group_421
LG5005,LG5004,prereq_group_422
LJ5003,LJ5002,prereq_group_423
LJ5004,LJ5003,prereq_group_424
LJ5005,LJ5004,prereq_group_425
LJ5006,LJ5005,prereq_group_426
LK5003,LK5002,prereq_group_427
LK5004,LK5003,prereq_group_428
LK5005,LK5004,prereq_group_429
LK5006,LK5005,prereq_group_430
LM5003,LM5002,prereq_group_431
LR5003,LR5002,prereq_group_432
LS5003,LS5002,prereq_group_433
LS5004,LS5003,prereq_group_434
LT5003,LT5002,prereq_group_435
HC5902,HC5901,prereq_group_436
LA5002,LA5001,prereq_group_437
LF5002,LF5001,prereq_group_438
LG5002,LG5001,prereq_group_439
LJ5002,LJ5001,prereq_group_440
LK5002,LK5001,prereq_group_441
LL5002,LL5001,prereq_group_442
LM5002,LM5001,prereq_group_443
LM5004,LM5003,prereq_group_444
LS5002,LS5001,prereq_group_445
LT5002,LT5001,prereq_group_446
BU5202,BU5201,prereq_group_447
HA3027,HA1001,prereq_group_448
CM5022,CM5012,prereq_group_449
AB5101,AD1101,prereq_group_450
AB5101,AC1104,prereq_group_451
AB5101,AD1102,prereq_group_452
BU5303,AB1301,prereq_group_453
BU5605,AB1601,prereq_group_454
CM5081,BS1005|CM5000,prereq_group_455
CM5081,CM1002,prereq_group_456
CM5081,CY1101,prereq_group_457
CM5101,CM1002,prereq_group_458
CM5101,CY1101,prereq_group_459
MH5000,MH1100|MH1101|MH1200|MH1201|MH1300,prereq_group_460
MH5000,CY1601|CY1602|MH1201|MH1300,prereq_group_461
AAB20C,BS1001,prereq_group_462
AAB20C,CY1001,prereq_group_463
DD1004,DD1003,prereq_group_464
DM2007,DM2000,prereq_group_465
DM3015,DM3013,prereq_group_466
DR2004,DR2001,prereq_group_467
DR3002,DR2005,prereq_group_468
DR3008,DR3006,prereq_group_469
DT2015,DT2001,prereq_group_470
DT3000,DT2000,prereq_group_471
DV2004,DV2000,prereq_group_472
DV2005,DV2001,prereq_group_473
DV2007,DV2004|DV3010,prereq_group_474
HR2010,DD1003,prereq_group_475
HR3004,DD1004,prereq_group_476
DV3002,DV2004|DV2005,prereq_group_477
DP2011,DP2006,prereq_group_478
DT2016,DT2000|DT2001,prereq_group_479
DT2019,DT2018,prereq_group_480
DT3014,DT2020,prereq_group_481
DT3016,DT3014,prereq_group_482
DF3004,DF2001|DF2003|DF2011,prereq_group_483
DP4001,DP2001|DP2005,prereq_group_484
DT3008,DT2000,prereq_group_485
MA4870,MA2001,prereq_group_486
MA4872,MA2006,prereq_group_487
MA4890,MA3005,prereq_group_488
MA4891,MA0218|MA3005,prereq_group_489
CB1117,MH1810,prereq_group_490
BG2209,CB1131,prereq_group_491
CB4247,CH2010,prereq_group_492
MS4661,MS4660,prereq_group_493
MS4662,MS4660,prereq_group_494
BS2105,BS1101|BS2102|BS2103,prereq_group_495
BS2106,BS1101|BS2102|BS2103,prereq_group_496
BS2107,BS1101|BS2103,prereq_group_497
BS3104,BS2001,prereq_group_498
BS3109,BS1007,prereq_group_499
BS3332,BS1007,prereq_group_500
BS3340,BS1007|BS2004,prereq_group_501
BS3351,BS3018,prereq_group_502
ES2303,BS1001|ES2003,prereq_group_503
BS2104,BS2102,prereq_group_504
BS3022,BS1007|BS1100|BS2004,prereq_group_505
BS3102,BS1101|BS2102|BS2103|BS2106,prereq_group_506
BS3106,BS1101|BS2102|BS2103|BS2106,prereq_group_507
BS3107,BS1101|BS2103,prereq_group_508
BS4018,BS2004,prereq_group_509
BS2004,BS1007,prereq_group_510
BS2021,BS1005|BS2003,prereq_group_511
BS3036,BS2004,prereq_group_512
HW0218,CC0001,prereq_group_513
HP2100,HP1000|HP1100,prereq_group_514
HP2300,HP1000|HP1100,prereq_group_515
HP2400,HP1000|HP1100,prereq_group_516
HP2600,HP1000|HP1100,prereq_group_517
HP2700,HP1000|HP1100|HP2200,prereq_group_518
HP3002,HP1000|HP1100,prereq_group_519
HP3402,HP1000|HP1100|HP2400,prereq_group_520
HP3601,HP1000|HP1100|HP2600,prereq_group_521
HP3802,HP1000|HP1100,prereq_group_522
HP3807,HP1000|HP1100,prereq_group_523
HP4012,HP1000|HP1100|HP2100|HP3101,prereq_group_524
HP4032,HP1000|HP1100|HP2100|HP2300,prereq_group_525
HP4105,HP1000|HP1100|HP2700,prereq_group_526
HP4106,HP1000|HP1100|HP2700,prereq_group_527
HP4201,HP1000|HP1100|HP2400,prereq_group_528
HP4202,HP1000|HP1100|HP2400,prereq_group_529
HP4232,CS2008|HP1000|HP2300,prereq_group_530
HP4271,HP1000|HP1100|HP2200|HP2600,prereq_group_531
BA2204,AB1202,prereq_group_532
BA3205,AB1201|AB1202,prereq_group_533
BA3203,BA2204,prereq_group_534
BF3901,AB1201,prereq_group_535
BC2407,AB1202|BC2406,prereq_group_536
BC2408,BE1401,prereq_group_537
BC2409,BE1401,prereq_group_538
BC2410,SC2002,prereq_group_539
BC2411,SC2002,prereq_group_540
BC3402,AB1201,prereq_group_541
BC3407,AB0403,prereq_group_542
BC3413,AB0403,prereq_group_543
BF2228,AB1201,prereq_group_544
BF3220,BF2219,prereq_group_545
BF3222,AB1202,prereq_group_546
BF3223,AB1202,prereq_group_547
BF3224,AB1202|BF2201,prereq_group_548
BF3228,AB1201|BF2219,prereq_group_549
BR2211,AB1202,prereq_group_550
BH2602,AB1202|AB1601,prereq_group_551
BH2604,AB1202|AB1601,prereq_group_552
BH2606,AB1202|AB1601,prereq_group_553
BH2608,AB1202|AB1601,prereq_group_554
BH3301,AB1301,prereq_group_555
BH3302,AB1301,prereq_group_556
BH3602,BH2601|BH2602,prereq_group_557
